clip,filename,pred_class,confidence,gt_class
A,frame_000.jpg,background,0.0,Looking_at_the_board
A,frame_001.jpg,UsingPhone,0.3864296078681946,Looking_at_the_board
A,frame_002.jpg,Looking_at_the_board,0.7085614800453186,Looking_at_the_board
A,frame_003.jpg,UsingPhone,0.502358078956604,Looking_at_the_board
A,frame_004.jpg,UsingPhone,0.2851715683937073,Looking_at_the_board
A,frame_005.jpg,UsingPhone,0.46804940700531006,Looking_at_the_board
A,frame_006.jpg,UsingPhone,0.800413191318512,Looking_at_the_board
A,frame_007.jpg,UsingPhone,0.7012010216712952,Looking_at_the_board
A,frame_008.jpg,UsingPhone,0.41199612617492676,Looking_at_the_board
A,frame_009.jpg,UsingPhone,0.6499359607696533,Looking_at_the_board
A,frame_010.jpg,LookingAway,0.8683032989501953,LookingAway
A,frame_011.jpg,LookingAway,0.8732736110687256,LookingAway
A,frame_012.jpg,LookingAway,0.8580178618431091,LookingAway
A,frame_013.jpg,LookingAway,0.8490726947784424,LookingAway
A,frame_014.jpg,LookingAway,0.8279491066932678,LookingAway
A,frame_015.jpg,Looking_at_the_board,0.7546350955963135,Looking_at_the_board
A,frame_016.jpg,LookingAway,0.8726989030838013,LookingAway
A,frame_017.jpg,LookingAway,0.8779053092002869,LookingAway
A,frame_018.jpg,Looking_at_the_board,0.8272473812103271,Looking_at_the_board
A,frame_019.jpg,Looking_at_the_board,0.7568711042404175,Looking_at_the_board
A,frame_020.jpg,Looking_at_the_board,0.8559685349464417,Looking_at_the_board
A,frame_021.jpg,Looking_at_the_board,0.8571570515632629,Looking_at_the_board
A,frame_022.jpg,Looking_at_the_board,0.8680546283721924,Looking_at_the_board
A,frame_023.jpg,Looking_at_the_board,0.8643444180488586,Looking_at_the_board
A,frame_024.jpg,Looking_at_the_board,0.8707478642463684,Looking_at_the_board
A,frame_025.jpg,Looking_at_the_board,0.8744286298751831,Looking_at_the_board
A,frame_026.jpg,Looking_at_the_board,0.8714433908462524,Looking_at_the_board
A,frame_027.jpg,Looking_at_the_board,0.8738678693771362,Looking_at_the_board
A,frame_028.jpg,Looking_at_the_board,0.8375380039215088,Looking_at_the_board
A,frame_029.jpg,Looking_at_the_board,0.7270315885543823,Looking_at_the_board
A,frame_030.jpg,UsingPhone,0.6995265483856201,UsingPhone
A,frame_031.jpg,UsingPhone,0.8561970591545105,UsingPhone
A,frame_032.jpg,UsingPhone,0.8367133140563965,UsingPhone
A,frame_033.jpg,UsingPhone,0.8441410064697266,UsingPhone
A,frame_034.jpg,UsingPhone,0.8183959126472473,UsingPhone
A,frame_035.jpg,UsingPhone,0.8153682351112366,UsingPhone
A,frame_036.jpg,UsingPhone,0.8046721816062927,UsingPhone
A,frame_037.jpg,UsingPhone,0.8031912446022034,UsingPhone
A,frame_038.jpg,UsingPhone,0.6416589617729187,UsingPhone
A,frame_039.jpg,UsingPhone,0.593935489654541,UsingPhone
A,frame_040.jpg,UsingPhone,0.6087070107460022,UsingPhone
A,frame_041.jpg,LookingAway,0.7969491481781006,LookingAway
A,frame_042.jpg,Looking_at_the_board,0.8659853935241699,Looking_at_the_board
A,frame_043.jpg,Looking_at_the_board,0.8663756847381592,Looking_at_the_board
A,frame_044.jpg,background,0.0,Taking_notes
A,frame_045.jpg,Taking_notes,0.7597236633300781,Taking_notes
A,frame_046.jpg,Taking_notes,0.49433383345603943,Taking_notes
A,frame_047.jpg,Taking_notes,0.7310417890548706,Taking_notes
A,frame_048.jpg,LookingAway,0.4021229147911072,Taking_notes
A,frame_049.jpg,Taking_notes,0.3852393329143524,Taking_notes
A,frame_050.jpg,Taking_notes,0.4684429168701172,Taking_notes
A,frame_051.jpg,Taking_notes,0.4528712332248688,Taking_notes
A,frame_052.jpg,Taking_notes,0.6183611154556274,Taking_notes
A,frame_053.jpg,Taking_notes,0.4857809841632843,Taking_notes
A,frame_054.jpg,Looking_at_the_board,0.8161436319351196,Looking_at_the_board
A,frame_055.jpg,Looking_at_the_board,0.828249990940094,Looking_at_the_board
A,frame_056.jpg,Looking_at_the_board,0.41378283500671387,Looking_at_the_board
A,frame_057.jpg,Looking_at_the_board,0.8431153297424316,Looking_at_the_board
A,frame_058.jpg,Looking_at_the_board,0.8566215634346008,Looking_at_the_board
A,frame_059.jpg,Looking_at_the_board,0.7705044150352478,Looking_at_the_board
A,frame_060.jpg,Looking_at_the_board,0.8454647064208984,Looking_at_the_board
A,frame_061.jpg,Looking_at_the_board,0.773743212223053,Looking_at_the_board
B,frame_000.jpg,Looking_at_the_board,0.8317137956619263,Looking_at_the_board
B,frame_001.jpg,Looking_at_the_board,0.836123526096344,Looking_at_the_board
B,frame_002.jpg,background,0.0,Looking_at_the_board
B,frame_003.jpg,background,0.0,Looking_at_the_board
B,frame_004.jpg,background,0.0,Looking_at_the_board
B,frame_005.jpg,Looking_at_the_board,0.8370814919471741,Looking_at_the_board
B,frame_006.jpg,Looking_at_the_board,0.28681159019470215,Looking_at_the_board
B,frame_007.jpg,background,0.0,UsingPhone
B,frame_008.jpg,background,0.0,UsingPhone
B,frame_009.jpg,background,0.0,UsingPhone
B,frame_010.jpg,UsingPhone,0.7755239009857178,UsingPhone
B,frame_011.jpg,UsingPhone,0.6398715376853943,UsingPhone
B,frame_012.jpg,background,0.0,UsingPhone
B,frame_013.jpg,UsingPhone,0.554575502872467,UsingPhone
B,frame_014.jpg,UsingPhone,0.45373091101646423,UsingPhone
B,frame_015.jpg,UsingPhone,0.4622754752635956,UsingPhone
B,frame_016.jpg,UsingPhone,0.4233425557613373,UsingPhone
B,frame_017.jpg,UsingPhone,0.8217574954032898,UsingPhone
B,frame_018.jpg,UsingPhone,0.8536733984947205,UsingPhone
B,frame_019.jpg,UsingPhone,0.7132875919342041,UsingPhone
B,frame_020.jpg,Looking_at_the_board,0.4702731966972351,UsingPhone
B,frame_021.jpg,background,0.0,UsingPhone
B,frame_022.jpg,UsingPhone,0.5490081310272217,UsingPhone
B,frame_023.jpg,UsingPhone,0.5392540693283081,UsingPhone
B,frame_024.jpg,Looking_at_the_board,0.8234157562255859,UsingPhone
B,frame_025.jpg,Looking_at_the_board,0.8372885584831238,Looking_at_the_board
B,frame_026.jpg,Looking_at_the_board,0.8291572332382202,Looking_at_the_board
B,frame_027.jpg,Looking_at_the_board,0.8123241066932678,Looking_at_the_board
B,frame_028.jpg,Looking_at_the_board,0.8341661095619202,Looking_at_the_board
B,frame_029.jpg,Looking_at_the_board,0.8360574245452881,Looking_at_the_board
B,frame_030.jpg,background,0.0,Looking_at_the_board
B,frame_031.jpg,Looking_at_the_board,0.833688497543335,Looking_at_the_board
B,frame_032.jpg,Looking_at_the_board,0.2682630121707916,Looking_at_the_board
B,frame_033.jpg,background,0.0,Looking_at_the_board
B,frame_034.jpg,background,0.0,Looking_at_the_board
B,frame_035.jpg,Looking_at_the_board,0.8363012075424194,Looking_at_the_board
B,frame_036.jpg,Looking_at_the_board,0.8390069007873535,Looking_at_the_board
B,frame_037.jpg,Looking_at_the_board,0.834060549736023,Looking_at_the_board
B,frame_038.jpg,Looking_at_the_board,0.850785493850708,Looking_at_the_board
B,frame_039.jpg,Looking_at_the_board,0.8690006732940674,Looking_at_the_board
B,frame_040.jpg,Looking_at_the_board,0.8544630408287048,Looking_at_the_board
B,frame_041.jpg,Looking_at_the_board,0.6553388833999634,Looking_at_the_board
B,frame_042.jpg,Looking_at_the_board,0.8526872992515564,Looking_at_the_board
B,frame_043.jpg,Looking_at_the_board,0.8258600831031799,Looking_at_the_board
B,frame_044.jpg,Looking_at_the_board,0.7604300379753113,Looking_at_the_board
B,frame_045.jpg,Looking_at_the_board,0.8484299778938293,Looking_at_the_board
B,frame_046.jpg,background,0.0,Looking_at_the_board
B,frame_047.jpg,Looking_at_the_board,0.5942094326019287,Looking_at_the_board
B,frame_048.jpg,Looking_at_the_board,0.39875298738479614,Looking_at_the_board
B,frame_049.jpg,UsingPhone,0.6541071534156799,UsingPhone
B,frame_050.jpg,UsingPhone,0.5412517189979553,UsingPhone
B,frame_051.jpg,UsingPhone,0.5676920413970947,UsingPhone
